Minutes,Games,iteration,Average_Score,High_Score,Epsilon,,,,,,,Seconds (plus the mintues)
12,118,10607,53,161,0.089403607,,,,,,,0.35
12,119,10681,42,161,0.089329681,,,,,,,5.26
12,120,10751,42,161,0.089259751,,,,,,,10.17
12,121,10871,71,161,0.089139871,,,,,,,18.2
12,122,11058,110,161,0.088953058,,,,,,,30.63
12,123,11179,70,161,0.088832179,,,,,,,38.63
12,124,11303,74,161,0.088708303,,,,,,,47
12,125,11395,53,161,0.088616395,,,,,,,53.1
13,126,11513,68,161,0.088498513,,,,,,,0.9
13,127,11601,51,161,0.088410601,,,,,,,6.79
13,128,11724,72,161,0.088287724,,,,,,,14.95
13,129,11799,42,161,0.088212799,,,,,,,19.89
13,130,11890,53,161,0.08812189,,,,,,,25.99
13,131,11979,51,161,0.088032979,,,,,,,31.89
13,132,12053,43,161,0.087959053,,,,,,,36.86
13,133,12156,60,161,0.087856156,,,,,,,43.74
13,134,12231,42,161,0.087781231,,,,,,,48.68
13,135,12318,50,161,0.087694318,,,,,,,54.41
13,136,12391,43,161,0.087621391,,,,,,,59.35
14,137,12557,98,161,0.087455557,,,,,,,10.37
14,138,12646,51,161,0.087366646,,,,,,,16.28
14,139,12719,42,161,0.087293719,,,,,,,21.15
14,140,12807,52,161,0.087205807,,,,,,,27.12
14,141,12944,80,161,0.087068944,,,,,,,36.23
14,142,13018,42,161,0.086995018,,,,,,,41.12
14,143,13111,53,161,0.086902111,,,,,,,47.28
14,144,13186,42,161,0.086827186,,,,,,,52.18
14,145,13271,49,161,0.086742271,,,,,,,57.76
15,146,13429,93,161,0.086584429,,,,,,,8.31
15,147,13662,138,161,0.086351662,,,,,,,23.77
15,148,13735,42,161,0.086278735,,,,,,,28.7
15,149,13881,86,161,0.086132881,,,,,,,38.47
15,150,13955,42,161,0.086058955,,,,,,,43.34
15,151,14058,61,161,0.085956058,,,,,,,50.31
15,152,14131,42,161,0.085883131,,,,,,,55.24
16,153,14220,51,161,0.08579422,,,,,,,1.11
16,154,14323,59,161,0.085691323,,,,,,,7.88
16,155,14410,50,161,0.08560441,,,,,,,13.66
16,156,14485,42,161,0.085529485,,,,,,,18.56
16,157,14590,62,161,0.08542459,,,,,,,25.62
16,158,14682,53,161,0.085332682,,,,,,,31.68
16,159,14772,53,161,0.085242772,,,,,,,37.72
16,160,14876,61,161,0.085138876,,,,,,,44.65
16,161,14963,51,161,0.085051963,,,,,,,50.51
16,162,15038,43,161,0.084977038,,,,,,,55.5
17,163,15112,42,161,0.084903112,,,,,,,0.4
17,164,15226,67,161,0.084789226,,,,,,,7.98
17,165,15316,52,161,0.084699316,,,,,,,13.97
17,166,15404,51,161,0.084611404,,,,,,,19.83
17,167,15500,56,161,0.0845155,,,,,,,26.27
17,168,15592,53,161,0.084423592,,,,,,,32.39
17,169,15891,180,180,0.084124891,,,,,,,52.55
17,170,15978,51,180,0.084037978,,,,,,,58.45
18,171,16106,74,180,0.083910106,,,,,,,6.94
18,172,16486,225,225,0.083530486,,,,,,,32.12
18,173,16562,43,225,0.083454562,,,,,,,37.08
18,174,16689,73,225,0.083327689,,,,,,,45.46
18,175,16868,106,225,0.083148868,,,,,,,57.42
19,176,16979,65,225,0.083037979,,,,,,,4.81
19,177,17054,42,225,0.082963054,,,,,,,9.7
19,178,17155,58,225,0.082862155,,,,,,,16.37
19,179,17242,50,225,0.082775242,,,,,,,22.15
19,180,17338,56,225,0.082679338,,,,,,,28.52
19,181,17535,116,225,0.082482535,,,,,,,41.56
19,182,17801,158,225,0.082216801,,,,,,,59.24
20,183,17904,59,225,0.082113904,,,,,,,6.08
20,184,18133,140,225,0.081885133,,,,,,,21.87
20,185,18228,55,225,0.081790228,,,,,,,28.2
20,186,18301,42,225,0.081717301,,,,,,,33.08
20,187,18374,42,225,0.081644374,,,,,,,37.95
20,188,18447,42,225,0.081571447,,,,,,,42.84
20,189,18519,42,225,0.081499519,,,,,,,47.71
20,190,18593,42,225,0.081425593,,,,,,,52.6
21,191,18844,148,225,0.081174844,,,,,,,9.29
21,192,19002,92,225,0.081017002,,,,,,,19.74
21,193,19120,68,225,0.08089912,,,,,,,27.53
21,194,19213,53,225,0.080806213,,,,,,,33.62
21,195,19316,59,225,0.080703316,,,,,,,40.41
21,196,19419,60,225,0.080600419,,,,,,,47.24
21,197,19492,42,225,0.080527492,,,,,,,52.13
22,198,19696,121,225,0.080323696,,,,,,,5.8
22,199,19793,57,225,0.080226793,,,,,,,12.4
22,200,19920,74,225,0.08009992,,,,,,,20.9
22,201,20157,141,225,0.079863157,,,,,,,36.74
22,202,20273,68,225,0.079747273,,,,,,,44.47
22,203,20347,42,225,0.079673347,,,,,,,49.36
23,204,20596,149,225,0.079424596,,,,,,,6.15
23,205,20710,68,225,0.07931071,,,,,,,13.86
23,206,20783,42,225,0.079237783,,,,,,,18.77
23,207,20934,91,225,0.079086934,,,,,,,29.1
23,208,21034,59,225,0.078987034,,,,,,,35.87
23,209,21266,138,225,0.078755266,,,,,,,51.39
24,210,21397,77,225,0.078624397,,,,,,,0.11
24,211,21549,90,225,0.078472549,,,,,,,10.34
24,212,21732,108,225,0.078289732,,,,,,,22.57
24,213,21841,64,225,0.078180841,,,,,,,29.86
24,214,21931,52,225,0.078090931,,,,,,,35.86
24,215,22124,113,225,0.077898124,,,,,,,48.66
24,216,22198,42,225,0.077824198,,,,,,,53.6
24,217,22271,43,225,0.077751271,,,,,,,58.51
25,218,22358,51,225,0.077664358,,,,,,,4.43
25,219,22455,59,225,0.077567455,,,,,,,11.11
25,220,22674,133,225,0.077348674,,,,,,,26.04
25,221,22820,87,225,0.07720282,,,,,,,35.97
25,222,22921,59,225,0.077101921,,,,,,,42.71
25,223,23053,78,225,0.076970053,,,,,,,51.54
25,224,23126,42,225,0.076897126,,,,,,,56.46
26,225,23201,42,225,0.076822201,,,,,,,1.33
26,226,23275,42,225,0.076748275,,,,,,,6.2
